iter	Passed	Remaining
0	1	148
1	2	141
2	4	146
3	5	136
4	6	132
5	8	129
6	9	125
7	10	123
8	12	123
9	13	125
10	15	126
11	17	126
12	19	127
13	20	127
14	22	127
15	23	125
16	25	124
17	27	123
18	28	121
19	29	119
20	31	117
21	32	115
22	33	113
23	35	111
24	36	109
25	37	107
26	38	104
27	39	102
28	40	100
29	42	98
30	43	96
31	44	94
32	45	91
33	46	90
34	47	88
35	49	87
36	50	86
37	52	85
38	53	83
39	54	82
40	55	80
41	56	77
42	57	75
43	58	73
44	59	72
45	59	69
46	61	68
47	62	67
48	63	66
49	64	64
50	65	63
51	66	61
52	67	60
53	69	58
54	70	57
55	71	56
56	73	55
57	74	54
58	76	53
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	44
66	86	42
67	87	41
68	88	39
69	89	38
70	91	37
71	92	35
72	93	34
73	94	33
74	94	31
75	95	30
76	96	28
77	98	27
78	99	26
79	101	25
80	103	24
81	104	22
82	105	21
83	106	20
84	107	19
85	109	17
86	110	16
87	112	15
88	113	13
89	114	12
90	115	11
91	117	10
92	118	8
93	119	7
94	120	6
95	121	5
96	122	3
97	123	2
98	124	1
99	125	0
