iter	Passed	Remaining
0	2	2609
1	4	2103
2	5	1920
3	7	1824
4	8	1739
5	10	1697
6	11	1682
7	13	1660
8	15	1668
9	17	1685
10	18	1673
11	20	1649
12	21	1634
13	23	1626
14	24	1614
15	26	1604
16	27	1595
17	29	1582
18	30	1582
19	32	1590
20	34	1596
21	35	1587
22	37	1580
23	38	1569
24	40	1568
25	41	1565
26	43	1558
27	44	1551
28	46	1553
29	48	1557
30	50	1562
31	51	1559
32	53	1555
33	54	1551
34	56	1548
35	57	1543
36	59	1538
37	60	1535
38	63	1556
39	65	1568
40	67	1581
41	70	1607
42	72	1605
43	73	1596
44	74	1589
45	76	1584
46	78	1581
47	79	1583
48	81	1585
49	83	1581
50	84	1576
51	86	1573
52	87	1565
53	88	1557
54	90	1549
55	91	1544
56	93	1548
57	95	1557
58	98	1564
59	100	1569
60	102	1580
61	104	1576
62	105	1573
63	107	1573
64	109	1577
65	111	1573
66	112	1569
67	114	1565
68	115	1565
69	117	1561
70	119	1560
71	120	1556
72	122	1556
73	125	1567
74	127	1571
75	129	1569
76	130	1563
77	131	1556
78	132	1550
79	134	1543
80	135	1536
81	136	1530
82	138	1527
83	140	1528
84	141	1528
85	143	1523
86	144	1517
87	145	1511
88	147	1505
89	148	1500
90	149	1494
91	151	1490
92	152	1485
93	153	1480
94	155	1480
95	157	1480
96	158	1475
97	159	1470
98	161	1465
99	162	1460
100	163	1455
101	164	1450
102	165	1445
103	167	1440
104	168	1435
105	170	1433
106	171	1433
107	173	1430
108	174	1425
109	175	1422
110	177	1417
111	178	1413
112	179	1410
113	180	1406
114	182	1403
115	184	1403
116	186	1407
117	188	1411
118	190	1411
119	192	1410
120	194	1411
121	195	1409
122	197	1407
123	198	1404
124	200	1401
125	201	1400
126	203	1397
127	204	1394
128	205	1390
129	207	1387
130	208	1384
131	210	1381
132	211	1377
133	212	1374
134	214	1375
135	216	1378
136	219	1381
137	221	1382
138	222	1380
139	224	1378
140	225	1376
141	226	1369
142	228	1367
143	229	1366
144	231	1364
145	233	1364
146	234	1362
147	236	1360
148	237	1357
149	239	1356
150	240	1354
151	242	1352
152	244	1352
153	245	1350
154	247	1349
155	248	1345
156	250	1343
157	251	1341
158	253	1339
159	254	1337
160	256	1335
161	257	1334
162	259	1332
163	261	1331
164	262	1329
165	264	1329
166	266	1328
167	267	1327
168	268	1321
169	270	1320
170	271	1318
171	273	1315
172	274	1314
173	276	1312
174	277	1310
175	279	1309
176	281	1307
177	282	1302
178	282	1297
179	284	1295
180	286	1294
181	286	1288
182	287	1283
183	288	1279
184	290	1277
185	291	1275
186	292	1271
187	293	1267
188	294	1264
189	296	1263
190	297	1261
191	299	1259
192	300	1258
193	302	1256
194	304	1255
195	305	1253
196	307	1251
197	308	1250
198	310	1249
199	312	1248
200	313	1244
201	314	1240
202	315	1239
203	316	1235
204	317	1230
205	319	1229
206	320	1226
207	321	1222
208	322	1221
209	324	1221
210	325	1218
211	327	1215
212	327	1211
213	329	1209
214	329	1204
215	330	1200
216	331	1196
217	332	1192
218	334	1191
219	334	1187
220	335	1183
221	336	1179
222	337	1174
223	337	1170
224	338	1167
225	339	1163
226	341	1162
227	342	1160
228	343	1156
229	344	1152
230	345	1148
231	345	1144
232	347	1143
233	348	1141
234	350	1140
235	352	1139
236	353	1138
237	354	1134
238	355	1130
239	356	1129
240	358	1128
241	359	1127
242	360	1123
243	361	1120
244	362	1116
245	363	1113
246	365	1113
247	366	1111
248	367	1107
249	368	1106
250	369	1103
251	370	1099
252	371	1095
253	372	1094
254	374	1093
255	375	1090
256	376	1088
257	378	1087
258	379	1086
259	381	1084
260	382	1083
261	384	1082
262	385	1081
263	387	1080
264	389	1079
265	390	1077
266	392	1076
267	393	1074
268	395	1073
269	396	1072
270	398	1071
271	399	1069
272	401	1067
273	402	1066
274	404	1065
275	405	1064
276	407	1062
277	408	1060
278	409	1059
279	411	1057
280	413	1056
281	414	1054
282	415	1052
283	416	1051
284	418	1049
285	419	1047
286	421	1046
287	422	1044
288	423	1042
289	425	1041
290	427	1040
291	428	1039
292	430	1037
293	431	1036
294	432	1034
295	433	1032
296	435	1029
297	436	1028
298	438	1026
299	439	1025
300	440	1023
301	441	1021
302	442	1018
303	443	1016
304	445	1015
305	447	1014
306	448	1013
307	450	1012
308	452	1012
309	454	1012
310	457	1012
311	459	1013
312	461	1013
313	463	1012
314	465	1013
315	467	1011
316	469	1011
317	471	1010
318	472	1008
319	474	1008
320	476	1008
321	479	1009
322	481	1010
323	484	1010
324	486	1010
325	488	1010
326	491	1011
327	493	1011
328	495	1010
329	497	1011
330	500	1011
331	502	1011
332	505	1011
333	507	1011
334	509	1010
335	511	1010
336	513	1011
337	516	1011
338	518	1011
339	520	1011
340	523	1011
341	525	1011
342	528	1011
343	530	1011
344	532	1011
345	535	1012
346	537	1012
347	540	1012
348	542	1012
349	545	1012
350	547	1012
351	549	1012
352	552	1012
353	554	1011
354	557	1012
355	559	1012
356	562	1012
357	564	1012
358	566	1011
359	568	1010
360	571	1011
361	573	1011
362	576	1011
363	578	1010
364	581	1010
365	583	1010
366	585	1010
367	588	1010
368	590	1010
369	593	1010
370	595	1010
371	598	1010
372	600	1010
373	603	1010
374	605	1009
375	608	1009
376	610	1009
377	613	1009
378	615	1008
379	618	1008
380	620	1008
381	623	1008
382	625	1008
383	628	1007
384	630	1007
385	632	1006
386	635	1006
387	637	1005
388	640	1005
389	642	1004
390	644	1004
391	647	1004
392	650	1004
393	652	1003
394	654	1002
395	657	1002
396	659	1001
397	661	1001
398	664	1000
399	667	1000
400	669	1000
401	672	999
402	674	999
403	676	998
404	679	998
405	682	998
406	684	997
407	687	996
408	689	996
409	691	995
410	694	994
411	696	994
412	699	993
413	701	992
414	704	992
415	706	992
416	709	992
417	712	991
418	715	991
419	718	991
420	720	990
421	722	990
422	725	989
423	727	988
424	730	988
425	732	987
426	735	986
427	737	986
428	740	985
429	742	984
430	745	984
431	747	983
432	750	982
433	752	981
434	755	981
435	758	980
436	760	980
437	763	979
438	765	978
439	768	977
440	770	977
441	773	976
442	776	976
443	778	975
444	781	974
445	783	973
446	786	972
447	789	972
448	792	972
449	794	971
450	797	970
451	799	969
452	802	969
453	805	968
454	808	967
455	810	966
456	812	965
457	814	964
458	817	963
459	820	962
460	822	962
461	825	961
462	827	959
463	829	958
464	832	957
465	834	956
466	837	955
467	839	954
468	842	953
469	844	952
470	847	951
471	849	950
472	852	949
473	854	948
474	857	947
475	859	946
476	862	945
477	864	944
478	866	942
479	869	942
480	872	940
481	874	939
482	876	938
483	879	937
484	881	936
485	883	934
486	886	933
487	888	932
488	891	931
489	894	930
490	896	929
491	899	928
492	901	927
493	904	926
494	906	924
495	908	923
496	911	922
497	913	921
498	916	920
499	918	918
500	921	917
501	923	916
502	926	915
503	928	913
504	931	912
505	932	910
506	934	909
507	937	908
508	939	906
509	942	905
510	944	903
511	947	902
512	949	901
513	951	899
514	954	898
515	956	897
516	959	895
517	961	894
518	964	893
519	966	892
520	969	890
521	971	889
522	973	888
523	976	887
524	979	885
525	981	884
526	983	882
527	986	881
528	988	880
529	991	878
530	994	877
531	996	876
532	998	875
533	1001	873
534	1002	871
535	1004	869
536	1006	868
537	1009	866
538	1011	865
539	1014	864
540	1016	862
541	1018	860
542	1021	859
543	1023	858
544	1026	856
545	1029	855
546	1031	854
547	1034	853
548	1037	852
549	1040	851
550	1042	849
551	1045	848
552	1048	847
553	1050	845
554	1052	844
555	1055	843
556	1058	841
557	1061	840
558	1064	839
559	1066	838
560	1069	837
561	1072	835
562	1074	834
563	1077	833
564	1081	832
565	1083	831
566	1087	830
567	1089	828
568	1092	827
569	1095	826
570	1097	824
571	1100	823
572	1102	821
573	1105	820
574	1107	818
575	1110	817
576	1111	814
577	1113	813
578	1116	811
579	1118	810
580	1121	808
581	1122	806
582	1125	804
583	1127	803
584	1130	801
585	1132	800
586	1135	798
587	1136	796
588	1138	794
589	1141	793
590	1143	791
591	1144	789
592	1147	787
593	1150	786
594	1152	784
595	1154	782
596	1157	781
597	1159	779
598	1160	777
599	1163	775
600	1165	773
601	1167	772
602	1170	770
603	1172	768
604	1175	767
605	1177	765
606	1180	764
607	1182	762
608	1185	761
609	1187	759
610	1189	757
611	1191	755
612	1193	753
613	1196	751
614	1198	750
615	1200	748
616	1201	745
617	1203	744
618	1206	742
619	1208	740
620	1211	739
621	1213	737
622	1216	735
623	1218	734
624	1220	732
625	1223	730
626	1225	729
627	1228	727
628	1230	726
629	1233	724
630	1236	722
631	1238	721
632	1241	719
633	1244	718
634	1246	716
635	1248	714
636	1251	712
637	1253	711
638	1255	709
639	1258	707
640	1260	706
641	1263	704
642	1265	702
643	1268	700
644	1269	698
645	1272	697
646	1274	695
647	1277	693
648	1279	692
649	1282	690
650	1284	688
651	1287	686
652	1289	685
653	1291	683
654	1294	681
655	1296	680
656	1299	678
657	1301	676
658	1304	674
659	1306	673
660	1309	671
661	1311	669
662	1313	667
663	1316	666
664	1318	664
665	1321	662
666	1323	660
667	1326	659
668	1328	657
669	1330	655
670	1333	653
671	1335	651
672	1338	650
673	1340	648
674	1342	646
675	1345	644
676	1347	643
677	1350	641
678	1352	639
679	1355	637
680	1356	635
681	1359	633
682	1361	631
683	1363	630
